Manufacturer,Vestas
Model,V164-8000
Capacity,8000
Usage,Offshore
HubHeight,0
RotorDiameter,164
Source,https://en.wind-turbine-models.com/turbines/318-vestas-v-164-8.0
Power curve,
windspeed(m/s),power(kW)
4,0
4.03,84.02
4.23,196.05
4.46,308.07
4.64,406.1
4.84,504.12
5.11,630.15
5.34,756.18
5.6,882.21
5.81,1008.24
6.07,1148.27
6.33,1330.31
6.6,1512.36
6.86,1708.4
7.09,1918.45
7.32,2142.5
7.53,2366.56
7.82,2660.63
8.05,2926.69
8.2,3136.74
8.58,3570.84
8.93,4004.94
9.22,4439.04
9.48,4817.13
9.81,5251.24
10.1,5699.34
10.36,6133.44
10.65,6581.55
10.86,6903.62
11.15,7295.72
11.32,7449.75
11.53,7603.79
11.7,7729.82
11.94,7855.85
12.29,7925.86
12.61,7967.87
13.02,7981.88
13.48,7995.88
14.04,8000
16,8000
17,8000
18,8000
19,8000
20,8000
21,8000
22,8000
23,8000
24,8000
25,8000
