Manufacturer,e.n.o. energy
Model,82_e.n.o._energy
Capacity,2000
Usage,Onshore
HubHeight,"58.6, 108"
Source,World Wind Farm 2023
RotorDiameter,82.4
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,20
3.0,39
3.5,65
4.0,91
4.5,134
5.0,177
5.5,242
6.0,306
6.5,396
7.0,486
7.5,604
8.0,723
8.5,870
9.0,1018
9.5,1200
10.0,1382
10.5,1590
11.0,1757
11.5,1850
12.0,1911
12.5,1965
13.0,2000
13.5,2000
14.0,2000
14.5,2000
15.0,2000
15.5,2000
16.0,2000
16.5,2000
17.0,2000
17.5,2000
18.0,2000
18.5,2000
19.0,2000
19.5,2000
20.0,2000
20.5,2000
21.0,2000
21.5,2000
22.0,2000
22.5,2000
23.0,2000
23.5,2000
24.0,2000
24.5,2000
25.0,2000
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
