Manufacturer,Ghrepower
Model,FD25-100_Ghrepower
Capacity,100
Usage,Onshore
HubHeight,"30, 42"
Source,World Wind Farm 2023
RotorDiameter,25.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,2
4.0,4
4.5,8
5.0,12
5.5,18
6.0,25
6.5,32
7.0,40
7.5,47
8.0,55
8.5,62
9.0,70
9.5,77
10.0,85
10.5,92
11.0,100
11.5,100
12.0,100
12.5,100
13.0,100
13.5,100
14.0,100
14.5,100
15.0,100
15.5,100
16.0,100
16.5,0
17.0,0
17.5,0
18.0,0
18.5,0
19.0,0
19.5,0
20.0,0
20.5,0
21.0,0
21.5,0
22.0,0
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
