Manufacturer,Mitsubishi
Model,MWT-92_Mitsubishi
Capacity,2400
Usage,Onshore
HubHeight,"80, 80"
Source,World Wind Farm 2023
RotorDiameter,92.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,41
4.5,100
5.0,169
5.5,260
6.0,361
6.5,470
7.0,584
7.5,740
8.0,903
8.5,1120
9.0,1337
9.5,1555
10.0,1764
10.5,1965
11.0,2160
11.5,2265
12.0,2364
12.5,2400
13.0,2400
13.5,2400
14.0,2400
14.5,2400
15.0,2400
15.5,2400
16.0,2400
16.5,2400
17.0,2400
17.5,2400
18.0,2400
18.5,2400
19.0,2400
19.5,2400
20.0,2400
20.5,2400
21.0,2400
21.5,2400
22.0,2400
22.5,2400
23.0,2400
23.5,2400
24.0,2400
24.5,2400
25.0,2400
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
