Manufacturer,Windtec
Model,WT2000fc-113_Windtec
Capacity,2000
Usage,Onshore
HubHeight,"90, 100"
Source,World Wind Farm 2023
RotorDiameter,113.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,45
3.5,100
4.0,162
4.5,233
5.0,309
5.5,448
6.0,588
6.5,763
7.0,938
7.5,1118
8.0,1320
8.5,1650
9.0,1970
9.5,2000
10.0,2000
10.5,2000
11.0,2000
11.5,2000
12.0,2000
12.5,2000
13.0,2000
13.5,2000
14.0,2000
14.5,2000
15.0,2000
15.5,2000
16.0,2000
16.5,2000
17.0,2000
17.5,2000
18.0,2000
18.5,2000
19.0,2000
19.5,2000
20.0,2000
20.5,0
21.0,0
21.5,0
22.0,0
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
