Manufacturer,STX Windpower
Model,STX82_1.5_MW_STX_Windpower
Capacity,1500
Usage,Onshore
HubHeight,"100, 115"
Source,World Wind Farm 2023
RotorDiameter,82.7
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,30
4.0,60
4.5,99
5.0,137
5.5,193
6.0,249
6.5,334
7.0,419
7.5,541
8.0,664
8.5,765
9.0,870
9.5,982
10.0,1099
10.5,1225
11.0,1352
11.5,1450
12.0,1500
12.5,1500
13.0,1500
13.5,1500
14.0,1500
14.5,1500
15.0,1500
15.5,1500
16.0,1500
16.5,1500
17.0,1500
17.5,1500
18.0,1500
18.5,1500
19.0,1500
19.5,1500
20.0,1500
20.5,1500
21.0,1500
21.5,1500
22.0,1500
22.5,1500
23.0,1500
23.5,1500
24.0,1500
24.5,1500
25.0,1500
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
