Manufacturer,GE Energy
Model,1.5se_GE_Energy
Capacity,1500
Usage,Onshore
HubHeight,"54.7, 85"
Source,World Wind Farm 2023
RotorDiameter,70.5
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,3
3.5,19
4.0,35
4.5,55
5.0,75
5.5,114
6.0,153
6.5,213
7.0,274
7.5,363
8.0,453
8.5,583
9.0,714
9.5,862
10.0,1011
10.5,1163
11.0,1315
11.5,1450
12.0,1489
12.5,1495
13.0,1500
13.5,1500
14.0,1500
14.5,1500
15.0,1500
15.5,1500
16.0,1500
16.5,1500
17.0,1500
17.5,1500
18.0,1500
18.5,1500
19.0,1500
19.5,1500
20.0,1500
20.5,1500
21.0,1500
21.5,1500
22.0,1500
22.5,1500
23.0,1500
23.5,1500
24.0,1500
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
