Manufacturer,Gamesa
Model,G87-2000_Gamesa
Capacity,2000
Usage,Offshore
HubHeight,"67, 100"
Source,World Wind Farm 2023
RotorDiameter,87.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,15
3.5,42
4.0,70
4.5,114
5.0,158
5.5,208
6.0,258
6.5,358
7.0,457
7.5,631
8.0,805
8.5,969
9.0,1132
9.5,1300
10.0,1468
10.5,1609
11.0,1750
11.5,1825
12.0,1900
12.5,1950
13.0,1990
13.5,1995
14.0,2000
14.5,2000
15.0,2000
15.5,2000
16.0,2000
16.5,2000
17.0,2000
17.5,2000
18.0,2000
18.5,2000
19.0,2000
19.5,2000
20.0,2000
20.5,2000
21.0,2000
21.5,2000
22.0,2000
22.5,2000
23.0,2000
23.5,2000
24.0,2000
24.5,2000
25.0,2000
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
