Manufacturer,W2E
Model,W2E-151-4.5_W2E
Capacity,4500
Usage,Onshore
HubHeight,"100, 130"
Source,World Wind Farm 2023
RotorDiameter,151.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,5
3.5,92
4.0,205
4.5,330
5.0,517
5.5,740
6.0,985
6.5,1310
7.0,1643
7.5,2063
8.0,2483
8.5,2950
9.0,3395
9.5,3730
10.0,4027
10.5,4230
11.0,4372
11.5,4445
12.0,4497
12.5,4499
13.0,4500
13.5,4500
14.0,4500
14.5,4500
15.0,4500
15.5,4500
16.0,4500
16.5,4500
17.0,4500
17.5,4500
18.0,4500
18.5,4500
19.0,4500
19.5,4500
20.0,4500
20.5,0
21.0,0
21.5,0
22.0,0
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
