Manufacturer,Guangdong Mingyang
Model,MY1.5s_Guangdong_Mingyang
Capacity,1500
Usage,Onshore
HubHeight,"65, 120"
Source,World Wind Farm 2023
RotorDiameter,77.1
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,1
3.0,4
3.5,26
4.0,47
4.5,85
5.0,123
5.5,178
6.0,233
6.5,312
7.0,390
7.5,496
8.0,602
8.5,736
9.0,869
9.5,1017
10.0,1165
10.5,1312
11.0,1445
11.5,1490
12.0,1500
12.5,1500
13.0,1500
13.5,1500
14.0,1500
14.5,1500
15.0,1500
15.5,1500
16.0,1500
16.5,1500
17.0,1500
17.5,1500
18.0,1500
18.5,1500
19.0,1500
19.5,1500
20.0,1500
20.5,1500
21.0,1500
21.5,1500
22.0,1500
22.5,1500
23.0,1500
23.5,1500
24.0,1500
24.5,1500
25.0,1500
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
