Manufacturer,Aerovide
Model,aM_5.0-139_Aerovide
Capacity,5000
Usage,Offshore
HubHeight,"100, 100"
Source,World Wind Farm 2023
RotorDiameter,139.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,55
4.0,117
4.5,270
5.0,428
5.5,610
6.0,794
6.5,1060
7.0,1315
7.5,1680
8.0,2019
8.5,2500
9.0,3100
9.5,4500
10.0,4900
10.5,5000
11.0,5000
11.5,5000
12.0,5000
12.5,5000
13.0,5000
13.5,5000
14.0,5000
14.5,5000
15.0,5000
15.5,5000
16.0,5000
16.5,5000
17.0,5000
17.5,5000
18.0,5000
18.5,5000
19.0,5000
19.5,5000
20.0,5000
20.5,5000
21.0,5000
21.5,5000
22.0,5000
22.5,5000
23.0,5000
23.5,5000
24.0,5000
24.5,5000
25.0,5000
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
