Manufacturer,STX Windpower
Model,STX82_2.0_MW_STX_Windpower
Capacity,2000
Usage,Onshore
HubHeight,"80, 88"
Source,World Wind Farm 2023
RotorDiameter,82.7
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,36
4.0,71
4.5,114
5.0,158
5.5,217
6.0,276
6.5,363
7.0,450
7.5,580
8.0,710
8.5,848
9.0,986
9.5,1140
10.0,1294
10.5,1438
11.0,1582
11.5,1688
12.0,1795
12.5,1910
13.0,2000
13.5,2000
14.0,2000
14.5,2000
15.0,2000
15.5,2000
16.0,2000
16.5,2000
17.0,2000
17.5,2000
18.0,2000
18.5,2000
19.0,2000
19.5,2000
20.0,2000
20.5,2000
21.0,2000
21.5,2000
22.0,2000
22.5,2000
23.0,2000
23.5,2000
24.0,2000
24.5,2000
25.0,2000
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
