Manufacturer,Suzlon
Model,S97-2100_Suzlon
Capacity,2100
Usage,Onshore
HubHeight,"90, 120"
Source,World Wind Farm 2023
RotorDiameter,97.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,70
4.5,137
5.0,203
5.5,301
6.0,413
6.5,524
7.0,649
7.5,812
8.0,1003
8.5,1186
9.0,1396
9.5,1612
10.0,1822
10.5,1953
11.0,2038
11.5,2064
12.0,2084
12.5,2100
13.0,2100
13.5,2100
14.0,2100
14.5,2100
15.0,2100
15.5,2100
16.0,2100
16.5,2100
17.0,2100
17.5,2100
18.0,2100
18.5,2100
19.0,2100
19.5,2100
20.0,2100
20.5,2100
21.0,2100
21.5,2100
22.0,2100
22.5,2100
23.0,2100
23.5,2100
24.0,2100
24.5,2100
25.0,2100
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
