Manufacturer,GE Energy
Model,1.85-82.5_GE_Energy
Capacity,1850
Usage,Onshore
HubHeight,"65, 80"
Source,World Wind Farm 2023
RotorDiameter,82.5
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,6
3.5,38
4.0,75
4.5,130
5.0,201
5.5,270
6.0,347
6.5,459
7.0,571
7.5,710
8.0,849
8.5,988
9.0,1126
9.5,1293
10.0,1459
10.5,1578
11.0,1697
11.5,1780
12.0,1823
12.5,1845
13.0,1850
13.5,1850
14.0,1850
14.5,1850
15.0,1850
15.5,1850
16.0,1850
16.5,1850
17.0,1850
17.5,1850
18.0,1850
18.5,1850
19.0,1850
19.5,1850
20.0,1850
20.5,1850
21.0,1850
21.5,1850
22.0,1850
22.5,1850
23.0,1850
23.5,1850
24.0,1850
24.5,1850
25.0,1850
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
