Manufacturer,Eviag
Model,ev90_Eviag
Capacity,2500
Usage,Onshore
HubHeight,"85, 100"
Source,World Wind Farm 2023
RotorDiameter,90.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,0
4.5,65
5.0,141
5.5,215
6.0,289
6.5,402
7.0,525
7.5,706
8.0,896
8.5,1059
9.0,1240
9.5,1433
10.0,1645
10.5,1864
11.0,2082
11.5,2224
12.0,2365
12.5,2440
13.0,2500
13.5,2500
14.0,2500
14.5,2500
15.0,2500
15.5,2500
16.0,2500
16.5,2500
17.0,2500
17.5,2500
18.0,2500
18.5,2500
19.0,2500
19.5,2500
20.0,2500
20.5,2500
21.0,2500
21.5,2500
22.0,2500
22.5,2500
23.0,2500
23.5,2500
24.0,2500
24.5,2500
25.0,2500
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
