Manufacturer,United Energies
Model,UE_1.65_89_IVA_United_Energies
Capacity,1650
Usage,Onshore
HubHeight,"80, 80"
Source,World Wind Farm 2023
RotorDiameter,88.4
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,22
3.5,54
4.0,91
4.5,147
5.0,207
5.5,293
6.0,381
6.5,493
7.0,606
7.5,753
8.0,900
8.5,1045
9.0,1190
9.5,1307
10.0,1422
10.5,1502
11.0,1578
11.5,1634
12.0,1650
12.5,1650
13.0,1650
13.5,1650
14.0,1650
14.5,1650
15.0,1650
15.5,1650
16.0,1650
16.5,1650
17.0,1650
17.5,1650
18.0,1650
18.5,1650
19.0,1650
19.5,1650
20.0,1650
20.5,0
21.0,0
21.5,0
22.0,0
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
