Manufacturer,Enercon
Model,E101-3000_Enercon
Capacity,3000
Usage,Onshore
HubHeight,"99, 149"
Source,World Wind Farm 2023
RotorDiameter,101.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,3
2.5,18
3.0,37
3.5,70
4.0,118
4.5,180
5.0,258
5.5,360
6.0,479
6.5,635
7.0,790
7.5,995
8.0,1200
8.5,1455
9.0,1710
9.5,2025
10.0,2340
10.5,2620
11.0,2867
11.5,2970
12.0,2990
12.5,2995
13.0,3000
13.5,3000
14.0,3000
14.5,3000
15.0,3000
15.5,3000
16.0,3000
16.5,3000
17.0,3000
17.5,3000
18.0,3000
18.5,3000
19.0,3000
19.5,3000
20.0,3000
20.5,3000
21.0,3000
21.5,3000
22.0,3000
22.5,3000
23.0,3000
23.5,3000
24.0,3000
24.5,3000
25.0,3000
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
